Date and time,Wind speed (m/s),Rotor speed (RPM),Pitch angle (°),Nacelle position (°),Wind direction (°),Nacelle ambient temperature (°C),Power (kW),Yaw error (°)
2019-07-03 06:00:00,10.35730643,15.18914545,2.314755947,240.488422,235.5404053,5.5,1877.429846,-4.948016700000011
2019-07-03 06:10:00,9.898107338,15.15803495,2.229703935,242.0247192,243.3131319,5.519999981,1898.687396,1.2884127000000092
2019-07-03 06:20:00,10.59198989,15.13992737,1.53939366,242.0247192,236.6158016,5.544444402,1905.578545,-5.408917599999995
2019-07-03 06:30:00,11.46537638,15.24406339,4.783210477,242.0247192,234.6730359,5.472222249,2049.723321,-7.351683299999991
2019-07-03 06:40:00,10.58079891,15.15005207,3.057015105,242.0247192,232.0672777,5.554999948,1977.319037,-9.957441499999987
2019-07-03 06:50:00,10.70589156,15.16276766,3.896576253,242.0247192,235.8369831,5.964999986,1934.531256,-6.187736099999995
2019-07-03 07:00:00,10.99479837,15.1726875,4.509291861,232.9417686,233.7167088,6.4075001,2039.88385,0.7749402000000032
2019-07-03 07:10:00,10.78953424,15.16408257,3.570187844,232.146637,229.5484175,6.817499948,1955.535913,-2.598219499999999
2019-07-03 07:20:00,10.12471833,15.15518761,1.191856489,232.146637,229.2040473,7.187499881,1887.852399,-2.942589699999985
2019-07-03 07:30:00,9.649963903,15.13474041,1.887033421,232.146637,232.6391521,7.332500005,1820.430316,0.49251509999999143
2019-07-03 07:40:00,10.9709455,15.10811868,2.774304944,232.146637,230.7855117,7.474999976,1892.919373,-1.3611252999999977
2019-07-03 07:50:00,10.70089829,15.09851812,3.668334693,232.146637,229.7912153,7.68999989,1920.920831,-2.3554216999999937
2019-07-03 08:00:00,10.87219298,15.19666372,5.250514683,232.146637,235.0653643,7.707499981,1985.908936,2.9187273000000005
2019-07-03 08:10:00,11.02813671,15.14706722,5.455979397,232.146637,233.6229718,7.312499976,1952.215234,1.4763347999999894
