,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
R2,0.8695,0.057,0.7049,0.9882,0.7888,0.8887,0.9885,0.8095,0.8955,0.9867,0.9635,0.9806,0.9845,0.9599,0.9859,0.9864,0.9856,0.9906,0.9862,0.9863,0.9894
RMSE,0.1182,22.1819,3.1024,0.0351,1.7002,0.6152,0.0353,1.6183,0.5901,0.0364,0.5842,0.2065,0.0388,0.6545,0.1628,0.0371,0.3994,0.1345,0.0362,0.3903,0.1369
MAE,0.0462,10.1953,1.5029,0.0247,0.6319,0.2484,0.0245,0.5528,0.2075,0.0259,0.2772,0.1155,0.0281,0.2576,0.101,0.0264,0.2243,0.0938,0.0265,0.2234,0.0968
