,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
1138,2.635467035,7.295622593,8.404000109,6.625586327
1139,2.90016723,23.61298195,9.584000206,6.881538067
1140,3.357042921,36.23363784,9.204500222,6.652158553
1141,9.15273006,1609.268384,1.01900001,15.1652336
1142,10.85420592,1958.399426,5.769499931,15.14915796
1143,7.536140633,1173.232797,0.100500002,14.5116334
1144,2.927721792,13.69950027,13.1695004,5.942707228
1145,2.588277984,7.261465278,18.11800063,5.217260689
1146,2.166471094,1.596900511,12.1760003,6.506903412
1147,3.379340696,34.25584912,15.44750049,5.661677448
1148,8.201698971,1334.970859,0.389499989,14.73215134
1149,9.022681189,1647.09274,2.065000002,14.90365027
1150,9.217420363,1620.490234,0.907999992,15.02642007
1151,7.804665709,1205.390479,0.132500002,14.06642644
1152,9.04115088,1579.228351,0.444499999,15.1079915
1153,9.542338395,1750.926352,1.364999983,15.08664648
1154,9.638622141,1885.670264,2.162999973,15.20661888
1155,9.073523927,1688.986316,0.913499998,15.0417008
1156,9.407500529,1763.268073,1.063000011,15.11559302
1157,9.125573111,1688.253784,0.543000007,15.14082299
1158,9.013956928,1449.028012,0.458000004,14.83101171
1159,8.558488774,1391.265546,0.299500006,14.56339949
1160,8.460330343,1335.368303,1.14200002,14.07142594
1161,7.926454306,1245.922986,0.515500005,14.4307196
1162,8.706301928,1379.746034,1.767499995,14.10323395
1163,9.530829787,1765.403265,0.963499986,15.13909703
1164,8.332787466,1283.891397,0.0245,14.56735902
1165,8.693790913,1454.593835,0.330500004,14.7280696
1166,8.544789743,1517.038077,0.438499999,14.93673746
1167,8.670829129,1443.555029,0.280000004,14.8296559
1168,8.012695646,1121.197299,0.0,14.71765311
1169,7.316230607,1007.590402,0.0,14.32724328
1170,7.349290419,1006.534012,0.0,14.33510922
1171,8.040770882,1160.965799,0.056,14.42089069
1172,8.207416224,1282.819049,0.0,15.1376384
1173,8.331655121,1284.954706,0.0,15.14382653
1174,8.884799099,1398.838538,0.0,15.15466261
1175,7.714284921,1104.045258,0.0,14.80476679
1176,8.043398046,1116.572079,0.0,14.74854764
1177,7.818457651,1055.964301,0.0,14.56560668
1178,7.470169473,950.3998444,0.0,14.129087
1179,8.152953911,1435.255908,0.131999999,15.00308257
1180,7.649408937,1005.782776,0.0,14.03574371
1181,9.232655674,1530.329739,1.07187498,14.73379735
1182,8.370784783,1297.095813,0.0,15.04994747
1183,8.167154241,1206.244669,0.0,14.95523384
1184,9.059193587,1483.367285,0.0,15.15919042
1185,8.717513776,1446.233374,0.0,15.08014718
1186,7.634503317,1127.801892,0.0,14.60710689
1187,8.179403431,1362.709293,0.0,14.9762233
1188,7.764261325,1199.014485,0.0,14.6193425
1189,8.100118796,1243.373276,0.023999999,14.90831204
1190,9.17294476,1555.369266,0.193000003,15.08140205
1191,8.573756367,1361.14093,0.328124993,14.73704321
1192,8.676342058,1552.338242,0.310500003,15.05202511
1193,8.844611144,1511.123853,0.034,15.10310841
1194,8.539462185,1256.495511,0.0,14.88011523
1195,8.893393397,1649.603534,0.3755,15.08564919
1196,9.387954116,1715.165228,0.755000004,15.10937664
1197,8.564930034,1479.4992,0.116499999,15.01300335
1198,9.109386659,1602.41196,0.435000002,15.11269663
1199,10.748177,1843.250073,2.821500018,15.15167794
1200,10.52791443,1816.904724,4.711499989,15.07645543
1201,9.902116799,1861.144275,3.367500025,15.11624533
1202,12.06930728,1996.598242,7.271499962,15.15826397
1203,12.13795149,1936.546429,7.31949991,15.02361202
1204,9.896789408,1813.759009,2.779000014,15.10866849
1205,9.317138267,1770.138373,1.061000007,15.12826681
